,Name,Summary
86,Cloyne Court Hotel,"The Cloyne Court Hotel, often referred to simply as Cloyne, is one of the houses of the  Berkeley Student Cooperative (BSC), a student housing cooperative in Berkeley, California. It is located at the north side of the University of California, Berkeley campus at 2600 Ridge Road, near Soda Hall and Jacobs Hall, and is the next door neighbor of Goldman School of Public Policy."
87,Shyh Wang Hall,"Shyh Wang Hall （王适大楼）, or Wang Hall, is a building on the University of California, Berkeley campus, in the Berkeley Hills, housing supercomputers designed to process 2 quadrillion calculations per second each. It is in the building complex of Lawrence Berkeley National Laboratory. It was designed by Perkins + Will of San Francisco, and November 2015. It houses the National Energy Research Scientific Computing Center."
88,Hillside Club,"The Hillside Club is a neighborhood social club established in 1898  by residents of Berkeley, California's newly formed Northside neighborhood to protect the hills from unsightly grading and unsuitable buildings. It took its cue from the Arts and Crafts movement. 
Prominent early club members included architects Bernard Maybeck and John Galen Howard, author Charles Keeler, and the journalist Frank Morton Todd.
Maybeck designed the original 1906 clubhouse, which was destroyed in the 1923 Berkeley Fire. John White, Maybeck's brother-in-law, designed the current clubhouse in 1924.
Among the club's first projects was the construction of Hillside Elementary School for the Berkeley Public Schools."
89,"Northside, Berkeley, California","Northside is a principally residential neighborhood in Berkeley, California, located north of the University of California, Berkeley campus, east of Oxford Street, and south of Cedar Street. There is a small shopping area located at Euclid and Hearst Avenues, at the northern entrance to the university. The Graduate Theological Union is located one block west of Euclid Avenue, in an area nicknamed Holy Hill. The north fork of Strawberry Creek runs southwestward across Northside, mostly culverted under buildings and pavement, to the campus."
90,Berkeley Robotics and Human Engineering Laboratory,"Berkeley Robotics and Human Engineering Laboratory is managed and operated by University of California, Berkeley. The lab conducts scientific research on  the design and control of a class of robotic systems worn or operated by humans to increase human mechanical strength."
91,Shattuck Hotel,"Shattuck Hotel is a historic building that was built as a hotel, located on the corner of Shattuck Avenue and Allston Way in Downtown Berkeley. Opened in December 1910 with the consent of Rosa Shattuck, wife of prominent gold seeker and builder Francis K. Shattuck, the hotel is located near the site of Rosa and Francis Shattuck's former Victorian estate. It has been a City of Berkeley landmark since 1987. It has also been operated as the Whitecotton Hotel and is currently operated as the Hotel Shattuck Plaza."
92,Advanced Light Source,"The Advanced Light Source (ALS) is a research facility at Lawrence Berkeley National Laboratory in Berkeley, California. One of the world's brightest sources of ultraviolet and soft x-ray light, the ALS is the first ""third-generation"" synchrotron light source in its energy range, providing multiple extremely bright sources of intense and coherent short-wavelength light for use in scientific experiments by researchers from around the world. It is funded by the US Department of Energy (DOE) and operated by the University of California. In June 2018, Stephen Kevan became the director of the ALS."
93,"University House, Berkeley","The University House is a building on the campus of the University of California, Berkeley. Designed by the architect Albert Pissis, it was formerly the home of the president of the University of California, but is now the home of the Chancellor of the Berkeley campus.
It is actually the only residence in the campus's central core, as all student housing lies outside the core campus, but within walking distance. The Chancellor and his/her spouse usually live in the private quarters on the second floor of the home, while the ground floor is used for receptions and other events. The home features art on loan from the UC Berkeley Art Museum and Pacific Film Archive."
94,"Downtown Berkeley, Berkeley, California","Downtown Berkeley is the central business district of the city of Berkeley, California, United States, around the intersection of Shattuck Avenue and Center Street, and extending north to Hearst Avenue, south to Dwight Way, west to Martin Luther King Jr. Way, and east to Oxford Street.  Downtown is the mass transit hub of Berkeley, with several AC Transit and UC Berkeley bus lines converging on the city's busiest BART station, as well as the location of Berkeley's civic center, high school, and Berkeley City College."
95,Etcheverry Hall,"Etcheverry Hall is a building on the UC Berkeley campus that houses the departments of mechanical, industrial, and nuclear engineering of the UC Berkeley College of Engineering. Etcheverry Hall is named after Bernard A. Etcheverry, professor of irrigation and drainage from 1915–51, who later served as chair of the Department of Irrigation and Drainage from 1923–51. Built in 1964, it is located on the north side of Hearst Avenue, across the street from the main campus."
96,Downtown Berkeley station,"Downtown Berkeley is a Bay Area Rapid Transit (BART) station located in Downtown Berkeley of Berkeley, California, United States, one of three stations in the city."
97,Jacobs Institute for Design Innovation,"The Jacobs Institute for Design Innovation is a building on the UC Berkeley campus, part of the UC Berkeley College of Engineering. Construction began in August 2014 with a $20 million gift from the Paul and Stacy Jacobs Foundation. The ribbon-cutting ceremony took place on August 20, 2015, with speeches from various UC Berkeley administrators, Ellen Lupton, Paul E. Jacobs, executive chairman of Qualcomm, and the building opened for instruction on September 16. The 24,000-square-foot building was constructed at a cost of $25 million, funded by philanthropy."
98,Helen Wills Neuroscience Institute,"The Helen Wills Neuroscience Institute (HWNI) at the University of California, Berkeley was created in 1997, through a  bequest from eight-time Wimbledon champion Helen Wills Moody, an alumna of the University of California - Berkeley."
99,Berkeley Student Cooperative,"The Berkeley Student Cooperative (BSC) (formerly known as University Students' Cooperative Association or the USCA) is a student housing cooperative serving primarily UC Berkeley students, but open to any full-time post-secondary student. The BSC houses and/or feeds over 1,300 students in 17 houses and three apartment buildings. Food is provided to residents of the 17 houses, which also offer boarding meal plans to non-residents. Residents of the houses are expected to perform work (typically five hours per week) as part of their rental agreement, which makes the rent lower. The BSC is led by a board of directors which is primarily composed of and elected by the student members."
100,Stebbins Hall,"Stebbins Hall is a student housing cooperative owned by the Berkeley Student Cooperative (BSC) and located at 2527 Ridge Road in Berkeley, California, on the north side of the University of California, Berkeley campus. The house has a total occupancy of 64 residents during the school year, from late August to mid May, and accommodate upwards of 54 residents over the summer."
101,Lawrence Berkeley National Laboratory,"Lawrence Berkeley National Laboratory (LBNL), commonly referred to as Berkeley Lab, is a United States national laboratory that conducts scientific research on behalf of the United States Department of Energy (DOE). It is located in the Berkeley Hills near Berkeley, California, overlooking the main campus of the University of California, Berkeley. It is managed and operated by the University of California."
102,Allanoke Manor,"Allanoke Manor or Allanoke, also known under the variant spelling Allenoke or Allenoke Manor, or as the Allen G. Freeman House, is a historic private residence in Berkeley, California. The main part of Allanoke has the address 1777 Le Roy Avenue, and its former carriage house has the address 2533 Ridge Road, each about one block north of the campus of the University of California, Berkeley. 
The home was declared a City of Berkeley Landmark in November, 1986."
103,Berkeley station (Southern Pacific Railroad),"Berkeley Station was the name of the principal railroad station in Berkeley, California from 1878 to 1911. It was located in what is now downtown Berkeley, on Shattuck Avenue between University Avenue and Center Street. The tract is today occupied by Shattuck Square and Berkeley Square. The name continued in use after 1911 although the station was no longer the main rail depot for Berkeley."
104,Flora Lamson Hewlett Library,"The Flora Lamson Hewlett Library is the central library of the Graduate Theological Union.  Located on the summit of the ""Holy Hill"" area of Berkeley, California its collections comprise one of the largest collections of theological works in the United States, with over 500,000 volumes  as of 2014.  The library's collections are open to the public. Borrower privileges are accessible not only to students and faculty of the GTU's consortial seminaries and affiliated centers, but also to the faculty and students of the University of California, Berkeley, Stanford University, and American Theological Library Association institutions participating in Reciprocal Borrowing.  The Hewlett Library also maintains a branch on the campus of San Francisco Theological Seminary at San Anselmo.  It also has storage facilities on the campus of the American Baptist Seminary of the West and at Santa Clara University."
105,Casa Zimbabwe,"Casa Zimbabwe, commonly referred to as CZ, is a student housing cooperative in Berkeley, California housing 124 residents. It is the second largest non-apartment style unit of the  Berkeley Student Cooperative (BSC), behind Cloyne Court Hotel.Located at 2422 Ridge Road, the house is a block from the center of the northern edge of the University of California, Berkeley campus. The yellow stucco fortress overlooks North Gate, and the two accessible roofs provide a view of San Francisco, the East Bay, the Berkeley Hills, and most of campus. It sits on Northside atop Holy Hill, the area in the vicinity of a five-way intersection surrounded on all sides by churches and seminaries. The BSC central office and central kitchen are located within the Casa Zimbabwe building, but they only connect to the main residential area by a few doors.
The residents of Casa Zimbabwe are affectionately referred to as Czars, though the pejorative term of Krackistani is not without use."
106,"Studio Building (Berkeley, California)","The Studio Building is a historic building, listed on the National Register of Historic Places, and located at 2045 Shattuck Avenue, Berkeley, California."
107,Graduate Theological Union,"The Graduate Theological Union (GTU) is a consortium of eight private independent American theological schools and eleven centers and affiliates. Seven of the theological schools are located in Berkeley, California. The GTU was founded in 1962 and their students can take courses at the University of California, Berkeley. Additionally, some of the GTU consortial schools are part of other California universities such as Santa Clara University (Jesuit School of Theology) and California Lutheran University (Pacific Lutheran Theological Seminary). Most of the GTU consortial schools are located in Berkeley area with the majority north of the campus in a neighborhood known as ""Holy Hill"" due to the cluster of GTU seminaries and centers located there."
108,Revival Bar and Kitchen,"Revival Bar and Kitchen is a farm-to-table eatery in Berkeley, California that specializes in local, sustainable, ethical food. It first opened its doors in May 2010 with Amy Murray as owner, and later taking over as executive chef in December 2011. Nat Harry serves as Revival's head mixologist, and Patrick Cress as Revival's sommelier. Revival's name both refers to the fact that the restaurant is housed in a Revival-era building, a reference to the days when Berkeley's downtown was a bustling place that attracted the rich and famous, and a reference to Amy Murray's hopes that her twin restaurants, Revival and Venus, will play a significant role in the revival of Berkeley's downtown food scene and downtown in general."
109,Church Divinity School of the Pacific,"Church Divinity School of the Pacific (CDSP) is one of the nine seminaries of the Episcopal Church in the United States of America. It is located in Berkeley, California, and is a member of the Graduate Theological Union. The only Episcopal seminary located in the Far West, CDSP has, since 1911, been designated the official seminary of the Episcopal Church's Eighth Province, the Province west of the Rocky Mountains.
The Church Divinity School of the Pacific, or CDSP, and Trinity Church Wall Street announced March 4 that the New York parish had acquired the seminary. The Very Rev. W. Mark Richardson, CDSP president and dean, told Episcopal News Service in an interview that the deal will put the school on a solid financial footing and position it for growth. CDSP and its assets now belong to Trinity, he said, and the value of those assets “will be a fund, among other resources they have, that supports the program at the school and operation.”CDSP is accredited by the Association of Theological Schools in the United States and Canada and offers a variety of degree and certificate programs aimed at training clergy and lay leaders for ministries in the Anglican Communion."
110,Berkeley City College,"Berkeley City College (BCC), formerly Vista Community College is a public community college in Berkeley, California. It is part of the California Community Colleges System and the Peralta Community College District. Berkeley City College is accredited by the Accrediting Commission for Community and Junior Colleges."
111,"United States Post Office (Berkeley, California)","The U.S. Post Office, also known as the Berkeley Main Post Office, has been described as a ""free adaptation of Brunelleschi's Foundling Hospital."" Designed in the Second Renaissance Revival style, the front of the building features terra cotta arches supported by plain tuscan columns. The building, located, 2000 Allston Way Berkeley, California, was built in 1914-15.The Post Office is within the Civic Center Historic District, a five block area listed on the National Register of Historic Places. The district is a locally significant ensemble of harmoniously planned civic buildings that retains a high degree of integrity since achieving significance in 1950. The post office, along with the ""Old"" City Hall (1909) in the Beaux-Arts style, is among the earliest and the most decorative of the thirteen buildings in the district.The architect is unknown but Oscar Wenderoth is listed on the cornerstone as he was director of the Office of the Supervising Architect that designed this and many other federal government buildings. The floor space doubled with the completion of the annex in 1932. A few years later, the Treasury Relief Art Project commissioned a sculpture and a mural for the lobby. Both are well-preserved examples of the styles, subjects and dominant themes of New Deal Art. The post office was designated Berkeley Landmark No. 38 on June 16, 1980 by the Landmarks Preservation Commission and added to the National Register of Historic Places on January 29, 1981."
112,"Peralta Elementary School, Oakland, California","Peralta Elementary School is a designated arts anchor school in the Oakland Unified School District. It was established over 100 years ago as a one-room schoolhouse, and today has over 250 students in 12 classrooms (K–5th).
The school has a tradition of family involvement and activism that stretches back to the 19th century.In 2006, Peralta was one of six schools in California where African-American students scored an API that exceeded 800 on the state STAR test. In 2008, Peralta demonstrated that academic targets were achieved for all subgroups at the school.
Since the early 1990s, the Peralta staff, students, families and neighbors have been working to make the school a green oasis. Tons of asphalt have been removed and replaced with edible gardens, a small amphitheater, a new kindergarten play area, and a California natives garden. The gardens are teaching too, helping students to learn about healthy eating, science, and stewardship of the land. Families help maintain the gardens during monthly work days, which build community and give students a feeling of ownership and responsibility for their school. Peralta's gardens have been held up as local and regional models.
Peralta is a community hub, with events and activities such as a community yardsale, walkathon and spring festival, Peralta in Bloom."
113,Bevatron,"The Bevatron was a particle accelerator — specifically, a weak-focusing proton synchrotron — at Lawrence Berkeley National Laboratory, U.S., which began operating in 1954. The antiproton was discovered there in 1955, resulting in the 1959 Nobel Prize in physics for Emilio Segrè and Owen Chamberlain.  It accelerated protons into a fixed target, and was named for its ability to impart energies of billions of eV. (Billions of eV Synchrotron.)"
114,California Jazz Conservatory,"The California Jazz Conservatory, formerly known as the Jazzschool, is a privately owned non-profit music school for jazz students in Berkeley, California. Founded in 1997, the school won accreditation as a conservatory in early 2014. It is the only American school with a year-round jazz music program."
115,Berkeley Zen Center,"Berkeley Zen Center (BZC), temple name Shogakuji (正覚寺, Shōgaku-ji), is a Sōtō Zen Buddhist practice center located in Berkeley, California led by Sojun Mel Weitsman. An informal affiliate to the San Francisco Zen Center (SFZC), BZC was founded in 1967 by Weitsman and Shunryu Suzuki as a satellite group for the SFZC. Despite founding the center, Weitsman was not installed as abbot there until 1985, one year after receiving Dharma transmission from Hoitsu Suzuki. Weitsman's Dharma heir, Alan Senauke, lives on site with his wife Laurie Senauke (as of 1999) and also works for the Buddhist Peace Fellowship. Another former teacher at BZC was Maylie Scott, who died in 2001. In 1969 Zenkei Blanche Hartman began sitting zazen at BZC, receiving Dharma transmission from Weitsman in 1988.[1] In 1979 the center relocated to its current location on Russell Street—and today houses a small group of residents who live on site. BZC has an active community and a full schedule of zen service, student talks, dharma talks, and zazen. [2]"
116,Molecular Foundry,"The Molecular Foundry is a nanoscience User Facility located at the Lawrence Berkeley National Laboratory in Berkeley, California, and is one of five Nanoscale Science Research Centers sponsored by the United States Department of Energy. The Molecular Foundry provides users from around the world with access to cutting-edge nanoscience expertise and instrumentation in a collaborative, multidisciplinary environment.
The Molecular Foundry was founded in 2003.  The building was completed on March 24, 2006 and received Leadership in Energy and Environmental Design Gold recognition from the US Green Building Council in 2007 for its optimization of energy usage. Jeff Neaton was appointed director of the Molecular Foundry in 2013.
Users of the Molecular Foundry are provided with free access to instruments, techniques and collaborators for nanoscience research that is in the public domain and intended for open publication. Proposals for user projects are solicited to promote interdisciplinary collaboration among scientists studying nanoscale phenomena in materials science, physics, electrical engineering, environmental engineering, biology and chemistry in seven interdependent facilities:"
117,Shattuck Avenue,"Shattuck Avenue is a major city street running north–south through Berkeley, California, and Oakland, California. At its southern end, the street branches from Telegraph Avenue in Oakland's Temescal district, then ends at Indian Rock Park in the Berkeley Hills to the north.  Shattuck Avenue is the main street of Berkeley, forming the spine of that city's downtown, and the site of the Gourmet Ghetto in North Berkeley. The street was named for Francis Kittredge Shattuck, an early landowner and booster who later served as Mayor of Oakland.  Shattuck was largely responsible for the original construction of the road as well as for a railroad built along its route."
118,Joint Genome Institute,"The U.S. Department of Energy (DOE) Joint Genome Institute (JGI), first located in Walnut Creek then Berkeley, California, was created in 1997 to unite the expertise and resources in genome mapping, DNA sequencing, technology development, and information sciences pioneered at the DOE genome centers at Lawrence Berkeley National Laboratory (Berkeley Lab), Lawrence Livermore National Laboratory (LLNL) and Los Alamos National Laboratory (LANL). As a DOE Office of Science User Facility of Berkeley Lab, the JGI staff is composed of employees from Berkeley Lab, LLNL and the HudsonAlpha Institute for Biotechnology. The JGI also collaborates with other DOE-supported programs and facilities, such as the Environmental Molecular Sciences Laboratory at Pacific Northwest National Laboratory (PNNL), the National Energy Research Scientific Computing Center, or NERSC, and the DOE Bioenergy Research Centers."
119,Berkeley Repertory Theatre,"Berkeley Repertory Theatre is a regional theater company located in Berkeley, California. It runs seven productions each season from its two stages in Downtown Berkeley."
120,Berkeley High School (California),"Berkeley High School is a public high school in the Berkeley Unified School District, and the only public high school in the city of Berkeley, California, United States. It is located one long block west of Shattuck Avenue and three short blocks south of University Avenue in Downtown Berkeley, and is recognized as a Berkeley landmark. The school mascot is the Yellowjacket."
121,"White Horse Inn (Oakland, California)","The White Horse Inn is a gay bar located at 6551 Telegraph Avenue in Oakland's Bushrod Park neighborhood. It officially opened in 1933 but is rumored to have operated as a gay speakeasy since before the end of Prohibition. It is said to be the oldest continuously operating gay bar in the United States, along with Cafe Lafitte in New Orleans, Louisiana which has also operated since 1933. The White Horse is situated geographically near the Oakland-Berkeley border and in close proximity to the University of California, Berkeley campus."
122,Jesuit School of Theology of Santa Clara University,"The Jesuit School of Theology of Santa Clara University is a Jesuit Seminary that is a school of Santa Clara University and one of the member colleges of the Graduate Theological Union (GTU) in Berkeley, California. Prior to its merger with Santa Clara University it was known as the Jesuit School of Theology at Berkeley (JSTB)."
123,Berkeley Community Theatre,"Berkeley Community Theatre is a theatre located in Berkeley, California, on the campus of Berkeley High School. The theater is used by Berkeley High School and the Berkeley Unified School District. 

The theater building also holds the Florence Schwimley Little Theater, a smaller theater that is often used for Berkeley High School music and theater performances."
124,Franciscan School of Theology,"The Franciscan School of Theology (FST) is a Roman Catholic graduate theological school at the Mission San Luis Rey de Francia in Oceanside, California. It is owned and operated by the Province of Saint Barbara of the Order of Friars Minor. FST is affiliated with the University of San Diego, a private Roman Catholic university in San Diego."
125,UC Theatre,"The UC Theatre is a music venue on University Avenue near Shattuck Avenue in Downtown Berkeley, Berkeley, California, United States. From 1976 until 2001, it was as a movie theater known for a revival house presentation of films. In 2013, The Berkeley Music Group was formed as a 501(c)(3) nonprofit organization with the mission to renovate and operate the UC Theater as live music venue. It reopened its doors on April 7, 2016."
126,Wat Mongkolratanaram,"For the Thai temple in Tampa, see Wat Mongkolratanaram, Tampa

Wat Mongkolratanaram (Thai: วัดมงคลรัตนาราม) is a small Thai Buddhist temple located in Berkeley, California. A wat, it mainly attracts Thai American Buddhists, including many who are students at the University of California, Berkeley, but it also draws in many local, non-Buddhists who come searching for the authentic Thai food public brunch on Sundays or attend its frequent cultural events. The temple is home to a Thai school for San Francisco Bay Area youth, as well as Berkeley's Thai Cultural Center.In 2001, it marked 25 years of being a temple by completing renovations to its Victorian house that customized it in temple style.In February 2009, a group of neighbors sought to shut down the Sunday public brunch, citing litter and traffic. The Zoning Adjustments Board of Berkeley voted 8 to 1 to keep the Sunday brunch, and the board chair ""praised the temple for being a positive influence"" in the neighborhood. The brunch runs on donations; visitors pay for tokens and exchange them for dishes.The Thailand-born Ajahn Manat is the current abbot of Wat Mongkolratanaram.
In 1997 the Wat was home to the East Bay chapter of the Cypherpunks."
127,Zaytuna College,"Zaytuna College (formerly known as Zaytuna Institute) is a Muslim liberal arts college located in Berkeley, California. Zaytuna is the first accredited Muslim undergraduate college in the United States and was founded in 2008 by Hamza Yusuf, Zaid Shakir and Hatem Bazian. Prior to becoming a college, Zaytuna was an institute, founded in 1996 by Hamza Yusuf and Hesham Alalusi. Zaytuna College seeks to incorporate the importance of the liberal arts and humanities into a traditional Islamic education curriculum. In the academic year 2014-2015, Zaytuna College had an undergraduate student body of about fifty students, most of whom live on campus. Zaytuna College offers one major, in Islamic Law and Theology, with courses ranging from Arabic grammar and Islamic jurisprudence, to American history and literature. Zaytuna College also conducts an intensive Arabic language summer course.Zaytuna College was conceived from the imperative to establish centers of Islamic learning for the Muslim-American community in the West which are equipped to interpret Islamic scriptures authoritatively and educate Western students in light of the cultural context in which they live. Zaytuna College has been recognized as an institution that has the ability to bridge the divide between America and the Muslim world.The faculty of Zaytuna College consists of scholars of Arabic, Islamic Studies and Liberal Arts. The institution derives its name from the Arabic word Zaytuna, which means olive tree. Biblical and Qur'anic scholars deem the olive a source of great benefit and worth."
128,Center for Swedenborgian Studies,"The Center for Swedenborgian Studies (formerly called the New Church Theological School or NCTS and also previously known as the Swedenborgian House of Studies) is the seminary of the Swedenborgian Church of North America at the Graduate Theological Union  in Berkeley, California. It offers a Certificate in Swedenborgian Studies and a Certificate in Swedenborgian Ministry Studies.  It also functions as a think-tank for Swedenborgian studies globally.The Center for Swedenborgian Studies or CSS (formerly called New Church Theological School or NCTS and also previously known as Swedenborgian House of Studies) is the theological training institution for the Swedenborgian Church of North America."
129,Starr King School for the Ministry,"Starr King School for the Ministry is a Unitarian Universalist seminary in Berkeley, California.  It is a member of the Graduate Theological Union (GTU) and is affiliated with the University of California, Berkeley. The seminary was formed in 1904 to educate leaders for the growing number of progressive religious communities in the western part of the country. An emphasis on the practical skills of religious leadership and personalized study characterized the school's transformation-based educational philosophy from the beginning. Today, it educates Unitarian Universalist ministers, religious educators, and spiritual activists, as well as progressive religious leaders from a variety of traditions, including Christianity, Islam, Judaism, Buddhism, earth-centered traditions, and others."
130,UC Berkeley Graduate School of Education,"The University of California, Berkeley Graduate School of Education is one of 14 schools and colleges at the University of California, Berkeley, and has historically been one of the top schools of education in the United States. The Graduate School of Education specializes in teacher training and education research."
131,UC Berkeley School of Public Health,"The University of California, Berkeley School of Public Health, commonly called the UC Berkeley School of Public Health, is one of 14 schools and colleges at the University of California, Berkeley. The School of Public Health is consistently rated alongside the best in the nation, with recent rankings placing its doctoral programs in Epidemiology, Environmental Health Sciences, and Health Policy among the top in their fields,  and its Master of Public Health program 8th among those in the United States. Established in 1943, it was the first school of public health west of the Mississippi River. The school is currently accredited by the Council on Education for Public Health."
132,Pacific School of Religion,"Pacific School of Religion (PSR) is a private Christian seminary in Berkeley, California. It maintains covenantal relationships with the United Church of Christ, the United Methodist Church, and the Disciples of Christ, ensuring the school provides the necessary requirements for candidates to seek ordination within these denominations. These three denominations account for approximately half of the student population of PSR. The school has also maintained close relationships with the Unitarian Universalist Association, the Universal Fellowship of Metropolitan Community Churches, the African Methodist Episcopal Church, as well as other denominations. Over the years PSR has provided training for clergy from a wide range of religious traditions including Buddhists, Jews, Pagans, Pentecostals, and Roman Catholics."
133,National Center for Electron Microscopy,"The National Center for Electron Microscopy (NCEM) was a U.S. Department of Energy national user facility at Lawrence Berkeley National Laboratory in Berkeley, California, for unclassified scientific research using advanced electron microscopy. It has since been merged with the Molecular Foundry, also located at Berkeley Lab."
134,International Computer Science Institute,"The International Computer Science Institute (ICSI) is an independent, non-profit research organization located in Berkeley, California, United States. Since its founding in 1988, ICSI has maintained an affiliation agreement with the University of California, Berkeley, where several of its members hold faculty appointments."
135,"Normandy Village, Berkeley, California","Normandy Village (formerly, Thornberg Village) is an apartment building located in Berkeley, in Alameda County, California. It lies at an elevation of 259 feet (79 m).
It is noted for its storybook/Tudor Revival architecture."
136,Triple Rock Brewery and Alehouse,"Triple Rock is a brewpub in Berkeley, California."
137,KALX,"KALX (90.7 FM) is an FM radio station that broadcasts from the University of California, Berkeley in Berkeley, California, United States. KALX, a community and student-run radio station licensed to the university, broadcasts in stereo with 500 watts of power. The station employs three full-time paid staff members, but is largely run by its nearly 300 volunteers, including Berkeley students and other members of the local community.  The station's studios are located at Barrows Hall on campus."
138,Shotgun Players,"The Shotgun Players is a California East Bay regional theatre group located in Berkeley, California. It runs 6 to 7 productions per season. Its main stage is the Ashby Stage located in the Lorin District near the Ashby BART station."
139,Berkeley Buddhist Monastery,"The Berkeley Buddhist Monastery is a Chan Buddhist monastery in Berkeley, California affiliated with the City of Ten Thousand Buddhas and led by Heng Sure. It is the site of the Institute for World Religions, founded by Hsuan Hua.The Monastery opened in 1994. It is located in a building which was once a Nazarene church. The monastery holds public lectures, meditation sessions, meditation classes, and daily ceremonies, in English and Chinese, and occasionally in Vietnamese. The Managing Director, Heng Sure, is a supporter of vegetarianism and of the use of the English language and Western musical styles in Buddhist liturgy."
140,San Francisco Institute of Architecture,"The San Francisco Institute of Architecture (SFIA) was founded in 1990 by Fred A. Stitt, architect, as a school devoted to innovation in design and experimental research and reform in architectural education. Its goal: to offer a new kind of architectural education, grounded in nature-based architecture and sustainable design. The school was co founded by Lou Marines, former CEO of the national American Institute of Architects. A year later Marines left SFIA to pursue independent continuing education professional development programs.
Prior to SFIA, Fred Stitt taught for three years at UC Berkeley, where he studied and documented problems and potential reforms in architectural education. He previously conducted the same kind of research on all aspects of architectural practice at various architecture firms. The results were presented over time in 18 books authored by Stitt and published by McGraw-Hill, John Wiley & Sons, and others. He also created and published over 70 architectural manuals through his own publishing company, Guidelines. The most recent textbook produced by Fred Stitt, The Ecological Design Handbook, was published by McGraw-Hill and recently translated into Chinese, and is used as a university textbook around the world.
Stitt and SFIA's distinguished faculty are now applying extended problem seeking and creative problem solving to every aspect of contemporary sustainable architecture. In pursuit of this work, SFIA created the first major national and international green building conferences (the Eco Wave Series) and has held recurring workshops for
design professionals and educators in over 50 cities across the U.S.
Since 1997 SFIA has provided low-cost distance learning programs to architecture and engineering students and professionals in every state in the U.S. and on every continent around the world. Today, SFIA is the world's oldest and largest green building school in the world.
In 2007 SFIA relocated to Berkeley, California. SFIA plans to eventually establish onsite programs in additional cities.
In 2008 SFIA introduced a new program--""Universal Green"" -- which will ultimately offer universal online education on every aspect of architecture and green building, at no cost to anyone, anywhere--whoever wants it."
141,Ashby station (BART),"Ashby is a Bay Area Rapid Transit (BART) station located under Adeline Street and perpendicular to Ashby Avenue in South Berkeley of Berkeley, California. The station includes park-and-ride facilities with 715 automobile parking spaces in two separate parking lots."
142,Berkeley Police Department,"The Berkeley Police Department (BPD) is the municipal police department for the city of Berkeley, California, USA."
143,Julia Morgan Hall,"Julia Morgan Hall (formerly Girton Hall) is a historic building in the University of California Botanical Garden in Berkeley, California. Built in 1911, the building was designed by prominent California architect Julia Morgan and originally located on the central campus of the University of California, Berkeley, near the present location of the Haas School of Business. It served as a gathering place for Berkeley's female students, who wanted a female counterpart to Senior Hall, the senior men's meeting hall."
144,University of California Botanical Garden,"The University of California Botanical Garden is a 34-acre (13.7 ha) botanical garden located on the University of California, Berkeley campus, in Strawberry Canyon. The Garden is in the Berkeley Hills, inside the city boundary of Oakland, with views overlooking the San Francisco Bay. It is one of the most diverse plant collections in the United States, and famous for its large number of rare and endangered species."
145,Lawrence Hall of Science,"The Lawrence Hall of Science is a public science center in Berkeley, California that offers hands-on science exhibits, designs curriculum, aids professional development, and offers after school science resources to students of all ages. The Hall was established in 1968 in honor of physicist Ernest Orlando Lawrence (1901–1958), the University of California's first Nobel laureate. The Hall is located in the hills above the University of California, Berkeley campus, less than a mile uphill from the University's Botanical Garden."
146,"Berkeley, California","Berkeley ( BURK-lee) is a city on the east shore of San Francisco Bay in northern Alameda County, California. It is named after the 18th-century Irish bishop and philosopher George Berkeley. It borders the cities of Oakland and Emeryville to the south and the city of Albany and the unincorporated community of Kensington to the north. Its eastern border with Contra Costa County generally follows the ridge of the Berkeley Hills. The 2010 census recorded a population of 112,580.
Berkeley is home to the oldest campus in the University of California system, the University of California, Berkeley, and the Lawrence Berkeley National Laboratory, which is managed and operated by the University. It also has the Graduate Theological Union, one of the largest religious studies institutions in the world. Berkeley is considered one of the most socially liberal cities in the United States."
147,Mathematical Sciences Research Institute,"The Mathematical Sciences Research Institute (MSRI) is an independent nonprofit mathematical research institution in Berkeley, California. It is widely regarded as a world leading mathematical center for collaborative research, drawing thousands of visiting researchers from around the world each year.MSRI was founded in 1982, and its funding sources include the National Science Foundation, foundations, corporations, and more than 90 universities and institutions. The Institute is located at 17 Gauss Way on the University of California, Berkeley campus, close to Grizzly Peak (on the hills overlooking Berkeley)."
148,Hillside Elementary School,"Hillside Elementary School is a 50,302 ft2 former public elementary school in the hills of Berkeley, California, at 1581 Le Roy Avenue, bordered by Le Roy Avenue, Buena Vista Way, and La Loma Avenue. It is registered as a local historic landmark and is listed on the National Register of Historic Places."
149,The College Preparatory School,"The College Preparatory School (CPS or Prep) is a four-year private high school in Oakland, California. The school's motto is mens conscia recti, a Latin phrase adapted from Virgil's Aeneid that means ""a mind aware of what is right."""
150,Maybeck Recital Hall,"Maybeck Recital Hall, also known as Maybeck Studio for Performing Arts, is located inside the Kennedy-Nixon House located at 1537 Euclid Avenue in Berkeley, California, United States. It was built in 1914 by Bernard Maybeck. The hall seats up to 50 people and was designed upon commission for the Nixon family, local arts patrons who wanted a live-in studio for their daughter Milda's piano teacher, Mrs. Alma Kennedy. The room is paneled in unfinished clear-heart redwood, which contributes to an unusually rich and warm, yet bright and clear acoustic quality. There are two grand pianos in the space: a Yamaha S-400, and a Yamaha C7.  Maybeck originally designed the space to accommodate an 1898 7-foot Bechstein."
